Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
35,César Azpilicueta,es ESP,DF,Chelsea,26,1989,38,38,"3,420",38,1,4,5,1,0,0,4,0,0.03,0.11,0.13,0.03,0.13,Matches
36,Eric Bailly,ci CIV,DF,Manchester Utd,22,1994,25,24,"2,058",22.9,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
37,Leighton Baines,eng ENG,"DF,MF",Everton,31,1984,32,32,"2,819",31.3,2,3,5,0,2,3,4,0,0.06,0.1,0.16,0,0.1,Matches
38,Patrick Bamford,eng ENG,FW,Middlesbrough,22,1993,8,2,287,3.2,1,0,1,1,0,0,1,0,0.31,0,0.31,0.31,0.31,Matches
39,Patrick Bamford,eng ENG,"FW,MF",Burnley,22,1993,6,0,39,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
40,Phil Bardsley,sct SCO,DF,Stoke City,31,1985,15,14,"1,168",13,0,0,0,0,0,0,5,2,0,0,0,0,0,Matches
41,Ross Barkley,eng ENG,"MF,FW",Everton,22,1993,36,32,"2,899",32.2,5,8,13,5,0,0,5,0,0.16,0.25,0.4,0.16,0.4,Matches
42,Ashley Barnes,eng ENG,FW,Burnley,26,1989,28,20,"1,773",19.7,6,2,8,4,2,2,7,2,0.3,0.1,0.41,0.2,0.3,Matches
43,Antonio Barragán,es ESP,DF,Middlesbrough,29,1987,26,26,"2,193",24.4,0,0,0,0,0,0,5,0,0,0,0,0,0,Matches
44,Modou Barrow,gm GAM,"MF,FW",Swansea City,23,1992,18,12,"1,145",12.7,0,2,2,0,0,0,1,0,0,0.16,0.16,0,0.16,Matches
45,Gareth Barry,eng ENG,MF,Everton,35,1981,33,23,"2,108",23.4,2,1,3,2,0,0,10,0,0.09,0.04,0.13,0.09,0.13,Matches
46,Joey Barton,eng ENG,MF,Burnley,33,1982,14,12,"1,105",12.3,1,0,1,1,0,0,4,0,0.08,0,0.08,0.08,0.08,Matches
47,Borja Bastón,es ESP,FW,Swansea City,23,1992,18,4,561,6.2,1,0,1,1,0,0,0,0,0.16,0,0.16,0.16,0.16,Matches
48,Michy Batshuayi,be BEL,FW,Chelsea,22,1993,20,1,254,2.8,5,1,6,5,0,0,0,0,1.77,0.35,2.13,1.77,2.13,Matches
49,Asmir Begović,ba BIH,GK,Chelsea,29,1987,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
50,Valon Behrami,ch SUI,MF,Watford,31,1985,27,26,"2,030",22.6,0,2,2,0,0,0,7,0,0,0.09,0.09,0,0.09,Matches
51,Héctor Bellerín,es ESP,"DF,MF",Arsenal,21,1995,33,27,"2,503",27.8,1,4,5,1,0,0,4,0,0.04,0.14,0.18,0.04,0.18,Matches
52,Yohan Benalouane,tn TUN,DF,Leicester City,29,1987,11,11,917,10.2,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
53,Christian Benteke,be BEL,FW,Crystal Palace,25,1990,36,36,"3,131",34.8,15,2,17,13,2,4,10,0,0.43,0.06,0.49,0.37,0.43,Matches
54,Jonathan Benteke,be BEL,FW,Crystal Palace,21,1995,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
55,Saido Berahino,bi BDI,FW,Stoke City,22,1993,13,8,720,8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
56,Saido Berahino,bi BDI,FW,West Brom,22,1993,4,3,243,2.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
57,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,25,1990,20,10,998,11.1,1,2,3,1,0,0,1,0,0.09,0.18,0.27,0.09,0.27,Matches
58,Ryan Bertrand,eng ENG,DF,Southampton,26,1989,28,28,"2,507",27.9,2,3,5,2,0,0,3,0,0.07,0.11,0.18,0.07,0.18,Matches
59,Mame Biram Diouf,sn SEN,"MF,FW",Stoke City,28,1987,27,15,"1,385",15.4,1,2,3,1,0,0,3,0,0.06,0.13,0.19,0.06,0.19,Matches
60,Daley Blind,nl NED,DF,Manchester Utd,26,1990,23,20,"1,830",20.3,1,2,3,1,0,0,2,0,0.05,0.1,0.15,0.05,0.15,Matches
61,Yannick Bolasie,cd COD,"FW,MF",Crystal Palace,27,1989,1,0,25,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
62,Yannick Bolasie,cd COD,"MF,FW",Everton,27,1989,13,12,"1,023",11.4,1,4,5,1,0,0,2,0,0.09,0.35,0.44,0.09,0.44,Matches
63,Wilfried Bony,ci CIV,FW,Stoke City,27,1988,10,9,684,7.6,2,0,2,2,0,0,1,0,0.26,0,0.26,0.26,0.26,Matches
64,Fabio Borini,it ITA,"FW,MF",Sunderland,25,1991,24,19,"1,741",19.3,2,0,2,2,0,0,5,0,0.1,0,0.1,0.1,0.1,Matches
65,Artur Boruc,pl POL,GK,Bournemouth,36,1980,35,35,"3,150",35,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
66,Sofiane Boufal,ma MAR,"FW,MF",Southampton,22,1993,24,12,"1,104",12.3,1,1,2,1,0,0,5,0,0.08,0.08,0.16,0.08,0.16,Matches
67,Jarrod Bowen,eng ENG,MF,Hull City,19,1996,7,1,181,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
68,George Boyd,sct SCO,MF,Burnley,30,1985,36,33,"2,836",31.5,2,1,3,2,0,0,3,0,0.06,0.03,0.1,0.06,0.1,Matches
69,Robbie Brady,ie IRL,MF,Burnley,24,1992,14,7,719,8,1,2,3,1,0,0,1,0,0.13,0.25,0.38,0.13,0.38,Matches
70,Claudio Bravo,cl CHI,GK,Manchester City,33,1983,22,22,"1,968",21.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
71,Miguel Britos,uy URU,DF,Watford,31,1985,27,27,"2,282",25.4,1,2,3,1,0,0,8,4,0.04,0.08,0.12,0.04,0.12,Matches
72,Leon Britton,eng ENG,MF,Swansea City,33,1982,16,16,"1,163",12.9,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
73,Chris Brunt,nir NIR,"MF,DF",West Brom,31,1984,31,27,"2,477",27.5,3,4,7,3,0,0,5,0,0.11,0.15,0.25,0.11,0.25,Matches
74,Jack Butland,eng ENG,GK,Stoke City,23,1993,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
75,Sam Byram,eng ENG,"DF,MF",West Ham,22,1993,18,13,"1,249",13.9,0,1,1,0,0,0,6,2,0,0.07,0.07,0,0.07,Matches
76,Willy Caballero,ar ARG,GK,Manchester City,34,1981,17,16,"1,452",16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
77,Yohan Cabaye,fr FRA,MF,Crystal Palace,30,1986,32,25,"2,125",23.6,4,2,6,4,0,1,7,0,0.17,0.08,0.25,0.17,0.25,Matches
78,Martín Cáceres,uy URU,DF,Southampton,29,1987,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
79,Gary Cahill,eng ENG,DF,Chelsea,30,1985,37,36,"3,296",36.6,6,0,6,6,0,0,5,0,0.16,0,0.16,0.16,0.16,Matches
80,Jonathan Calleri,ar ARG,FW,West Ham,22,1993,16,4,540,6,1,0,1,1,0,0,0,0,0.17,0,0.17,0.17,0.17,Matches
81,Dominic Calvert-Lewin,eng ENG,"MF,FW",Everton,19,1997,11,5,347,3.9,1,0,1,1,0,0,1,0,0.26,0,0.26,0.26,0.26,Matches
82,Geoff Cameron,us USA,"MF,DF",Stoke City,31,1985,19,18,"1,629",18.1,0,2,2,0,0,0,1,0,0,0.11,0.11,0,0.11,Matches
83,Fraizer Campbell,eng ENG,FW,Crystal Palace,28,1987,12,0,165,1.8,1,0,1,1,0,0,0,0,0.55,0,0.55,0.55,0.55,Matches
84,Emre Can,de GER,MF,Liverpool,22,1994,32,26,"2,371",26.3,5,2,7,5,0,0,6,0,0.19,0.08,0.27,0.19,0.27,Matches
85,Étienne Capoue,fr FRA,MF,Watford,28,1988,37,37,"3,203",35.6,7,1,8,7,0,0,5,0,0.2,0.03,0.22,0.2,0.22,Matches
86,Baily Cargill,eng ENG,DF,Bournemouth,21,1995,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
87,Michael Carrick,eng ENG,MF,Manchester Utd,35,1981,23,18,"1,600",17.8,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
88,Andy Carroll,eng ENG,FW,West Ham,27,1989,18,15,"1,311",14.6,7,1,8,7,0,0,3,0,0.48,0.07,0.55,0.48,0.55,Matches
89,Tom Carroll,eng ENG,MF,Tottenham,24,1992,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
90,Tom Carroll,eng ENG,MF,Swansea City,24,1992,17,16,"1,387",15.4,1,2,3,1,0,0,1,0,0.06,0.13,0.19,0.06,0.19,Matches
91,Joel Castro Pereira,pt POR,GK,Manchester Utd,20,1996,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
92,Craig Cathcart,nir NIR,DF,Watford,27,1989,15,13,"1,162",12.9,0,1,1,0,0,0,3,0,0,0.08,0.08,0,0.08,Matches
93,Lee Cattermole,eng ENG,MF,Sunderland,28,1988,8,8,633,7,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
94,Santi Cazorla,es ESP,MF,Arsenal,31,1984,8,7,618,6.9,2,1,3,0,2,2,2,0,0.29,0.15,0.44,0,0.15,Matches
95,Petr Čech,cz CZE,GK,Arsenal,34,1982,35,35,"3,097",34.4,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
96,Nacer Chadli,be BEL,"MF,FW",West Brom,26,1989,31,27,"2,134",23.7,5,4,9,4,1,1,2,0,0.21,0.17,0.38,0.17,0.34,Matches
97,Nathaniel Chalobah,eng ENG,MF,Chelsea,21,1994,10,1,167,1.9,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
98,Calum Chambers,eng ENG,DF,Arsenal,21,1995,1,1,90,1,1,0,1,1,0,0,0,0,1,0,1,1,1,Matches
99,Calum Chambers,eng ENG,DF,Middlesbrough,21,1995,24,24,"2,160",24,1,1,2,1,0,0,4,0,0.04,0.04,0.08,0.04,0.08,Matches
100,Ben Chilwell,eng ENG,"DF,MF",Leicester City,19,1996,12,7,699,7.8,1,0,1,1,0,0,2,0,0.13,0,0.13,0.13,0.13,Matches
101,Lee Chung-yong,kr KOR,MF,Crystal Palace,28,1988,15,4,471,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
102,Jordy Clasie,nl NED,MF,Southampton,25,1991,16,12,"1,021",11.3,1,1,2,1,0,0,3,0,0.09,0.09,0.18,0.09,0.18,Matches
103,Adam Clayton,eng ENG,MF,Middlesbrough,27,1989,34,32,"2,804",31.2,0,2,2,0,0,0,10,0,0,0.06,0.06,0,0.06,Matches
104,Tom Cleverley,eng ENG,MF,Watford,26,1989,17,16,"1,441",16,0,2,2,0,0,0,3,0,0,0.12,0.12,0,0.12,Matches
105,Tom Cleverley,eng ENG,MF,Everton,26,1989,10,4,406,4.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
106,Gaël Clichy,fr FRA,DF,Manchester City,31,1985,25,24,"2,123",23.6,1,0,1,1,0,0,2,0,0.04,0,0.04,0.04,0.04,Matches
107,Sam Clucas,eng ENG,MF,Hull City,25,1990,37,36,"3,185",35.4,3,1,4,3,0,0,9,1,0.08,0.03,0.11,0.08,0.11,Matches
108,Nathaniel Clyne,eng ENG,DF,Liverpool,25,1991,37,37,"3,323",36.9,0,2,2,0,0,0,0,0,0,0.05,0.05,0,0.05,Matches
109,Séamus Coleman,ie IRL,"DF,MF",Everton,27,1988,26,26,"2,316",25.7,4,3,7,4,0,0,3,0,0.16,0.12,0.27,0.16,0.27,Matches
110,James Collins,wls WAL,DF,West Ham,32,1983,22,19,"1,655",18.4,2,0,2,2,0,0,3,0,0.11,0,0.11,0.11,0.11,Matches
111,Lewis Cook,eng ENG,MF,Bournemouth,19,1997,6,4,432,4.8,0,1,1,0,0,0,1,0,0,0.21,0.21,0,0.21,Matches
112,Steve Cook,eng ENG,DF,Bournemouth,25,1991,38,38,"3,420",38,2,0,2,2,0,0,5,0,0.05,0,0.05,0.05,0.05,Matches
113,Francis Coquelin,fr FRA,MF,Arsenal,25,1991,29,22,"1,779",19.8,0,0,0,0,0,0,5,0,0,0,0,0,0,Matches
114,Jack Cork,eng ENG,MF,Swansea City,27,1989,30,25,"2,232",24.8,0,0,0,0,0,0,7,0,0,0,0,0,0,Matches
115,Diego Costa,es ESP,FW,Chelsea,27,1988,35,35,"3,082",34.2,20,7,27,20,0,1,10,0,0.58,0.2,0.79,0.58,0.79,Matches
116,Thibaut Courtois,be BEL,GK,Chelsea,24,1992,36,36,"3,240",36,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
117,Philippe Coutinho,br BRA,"FW,MF",Liverpool,24,1992,31,28,"2,227",24.7,13,8,21,13,0,0,2,0,0.53,0.32,0.85,0.53,0.85,Matches
118,Aaron Cresswell,eng ENG,"DF,MF",West Ham,26,1989,26,24,"2,116",23.5,0,2,2,0,0,0,3,2,0,0.09,0.09,0,0.09,Matches
119,Peter Crouch,eng ENG,FW,Stoke City,35,1981,27,13,"1,343",14.9,7,2,9,7,0,0,3,0,0.47,0.13,0.6,0.47,0.6,Matches
120,Charlie Daniels,eng ENG,DF,Bournemouth,29,1986,34,34,"3,060",34,4,3,7,4,0,0,1,0,0.12,0.09,0.21,0.12,0.21,Matches
121,Scott Dann,eng ENG,DF,Crystal Palace,29,1987,23,19,"1,797",20,3,1,4,3,0,0,2,0,0.15,0.05,0.2,0.15,0.2,Matches
122,Matteo Darmian,it ITA,DF,Manchester Utd,26,1989,18,15,"1,333",14.8,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
123,Ben Davies,wls WAL,"DF,MF",Tottenham,23,1993,23,18,"1,739",19.3,1,3,4,1,0,0,1,0,0.05,0.16,0.21,0.05,0.21,Matches
124,Curtis Davies,eng ENG,DF,Hull City,31,1985,26,25,"2,135",23.7,0,2,2,0,0,0,4,0,0,0.08,0.08,0,0.08,Matches
125,Tom Davies,eng ENG,MF,Everton,18,1998,24,18,"1,544",17.2,2,3,5,2,0,0,4,0,0.12,0.17,0.29,0.12,0.29,Matches
126,Steven Davis,nir NIR,MF,Southampton,31,1985,32,29,"2,643",29.4,0,3,3,0,0,0,3,0,0,0.1,0.1,0,0.1,Matches
127,Craig Dawson,eng ENG,DF,West Brom,26,1990,37,37,"3,276",36.4,4,0,4,4,0,0,10,0,0.11,0,0.11,0.11,0.11,Matches
128,Michael Dawson,eng ENG,DF,Hull City,32,1983,22,19,"1,722",19.1,3,0,3,3,0,0,4,0,0.16,0,0.16,0.16,0.16,Matches
129,Kevin De Bruyne,be BEL,MF,Manchester City,25,1991,36,33,"2,877",32,6,17,23,6,0,1,4,0,0.19,0.53,0.72,0.19,0.72,Matches
130,Mathieu Debuchy,fr FRA,DF,Arsenal,31,1985,1,1,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
131,Troy Deeney,eng ENG,FW,Watford,28,1988,37,31,"2,944",32.7,10,4,14,7,3,3,7,0,0.31,0.12,0.43,0.21,0.34,Matches
132,Jermain Defoe,eng ENG,FW,Sunderland,33,1982,37,37,"3,321",36.9,15,2,17,10,5,5,1,0,0.41,0.05,0.46,0.27,0.33,Matches
133,Steven Defour,be BEL,MF,Burnley,28,1988,21,16,"1,068",11.9,1,3,4,1,0,0,1,0,0.08,0.25,0.34,0.08,0.34,Matches
134,Damien Delaney,ie IRL,DF,Crystal Palace,35,1981,30,21,"2,014",22.4,0,2,2,0,0,0,8,0,0,0.09,0.09,0,0.09,Matches
135,Fabian Delph,eng ENG,MF,Manchester City,26,1989,7,2,224,2.5,1,0,1,1,0,0,1,0,0.4,0,0.4,0.4,0.4,Matches
136,Mousa Dembélé,be BEL,MF,Tottenham,29,1987,30,24,"2,056",22.8,1,1,2,1,0,0,5,0,0.04,0.04,0.09,0.04,0.09,Matches
137,Jason Denayer,be BEL,"MF,DF",Sunderland,21,1995,24,22,"1,877",20.9,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
138,Mike van der Hoorn,nl NED,DF,Swansea City,23,1992,8,7,662,7.4,1,0,1,1,0,0,1,0,0.14,0,0.14,0.14,0.14,Matches
139,Gerard Deulofeu,es ESP,"FW,MF",Everton,22,1994,11,4,460,5.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
140,Eric Dier,eng ENG,"DF,MF",Tottenham,22,1994,36,34,"3,043",33.8,2,1,3,2,0,0,6,0,0.06,0.03,0.09,0.06,0.09,Matches
141,Adama Diomande,no NOR,"FW,MF",Hull City,26,1990,22,13,"1,171",13,2,0,2,2,0,0,1,0,0.15,0,0.15,0.15,0.15,Matches
142,Papy Djilobodji,sn SEN,DF,Sunderland,27,1988,18,17,"1,578",17.5,0,0,0,0,0,0,5,2,0,0,0,0,0,Matches
143,Abdoulaye Doucouré,ml MLI,MF,Watford,23,1993,20,14,"1,361",15.1,1,0,1,1,0,0,4,0,0.07,0,0.07,0.07,0.07,Matches
144,Stewart Downing,eng ENG,"MF,FW",Middlesbrough,32,1984,30,24,"2,214",24.6,1,3,4,1,0,0,1,0,0.04,0.12,0.16,0.04,0.16,Matches
145,Danny Drinkwater,eng ENG,MF,Leicester City,26,1990,29,27,"2,466",27.4,1,2,3,1,0,0,6,0,0.04,0.07,0.11,0.04,0.11,Matches
146,Nathan Dyer,eng ENG,"MF,FW",Swansea City,28,1987,8,3,214,2.4,0,1,1,0,0,0,0,0,0,0.42,0.42,0,0.42,Matches
147,Ovie Ejaria,eng ENG,"FW,MF",Liverpool,18,1997,2,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
148,Omar Elabdellaoui,no NOR,"DF,MF",Hull City,24,1991,8,7,615,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
149,Andrew Eleftheriou,eng ENG,DF,Watford,18,1997,1,0,52,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
150,Ahmed Elmohamady,eg EGY,"DF,MF",Hull City,28,1987,33,28,"2,524",28,0,2,2,0,0,0,3,1,0,0.07,0.07,0,0.07,Matches
151,Mohamed Elneny,eg EGY,MF,Arsenal,24,1992,14,8,694,7.7,0,1,1,0,0,0,1,0,0,0.13,0.13,0,0.13,Matches
152,Christian Eriksen,dk DEN,MF,Tottenham,24,1992,36,36,"3,157",35.1,8,15,23,8,0,0,0,0,0.23,0.43,0.66,0.23,0.66,Matches
153,Bernardo Espinosa,co COL,DF,Middlesbrough,27,1989,11,10,975,10.8,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
154,Jonny Evans,nir NIR,DF,West Brom,28,1988,31,30,"2,637",29.3,2,2,4,2,0,0,8,0,0.07,0.07,0.14,0.07,0.14,Matches
155,Łukasz Fabiański,pl POL,GK,Swansea City,31,1985,37,37,"3,330",37,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
156,Fábio,br BRA,DF,Middlesbrough,26,1990,24,21,"1,847",20.5,0,0,0,0,0,0,8,0,0,0,0,0,0,Matches
157,Cesc Fàbregas,es ESP,MF,Chelsea,29,1987,29,13,"1,339",14.9,5,12,17,5,0,0,8,0,0.34,0.81,1.14,0.34,1.14,Matches
158,Adam Federici,au AUS,GK,Bournemouth,31,1985,2,2,180,2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
159,Sofiane Feghouli,dz ALG,"MF,FW",West Ham,26,1989,21,11,"1,041",11.6,3,2,5,3,0,0,1,1,0.26,0.17,0.43,0.26,0.43,Matches
160,Marouane Fellaini,be BEL,MF,Manchester Utd,28,1987,28,18,"1,605",17.8,1,0,1,1,0,0,9,1,0.06,0,0.06,0.06,0.06,Matches
161,Leroy Fer,nl NED,MF,Swansea City,26,1990,34,27,"2,404",26.7,6,2,8,6,0,0,9,0,0.22,0.07,0.3,0.22,0.3,Matches
162,Edimilson Fernandes,ch SUI,MF,West Ham,20,1996,28,8,"1,001",11.1,0,1,1,0,0,0,4,0,0,0.09,0.09,0,0.09,Matches
163,Federico Fernández,ar ARG,DF,Swansea City,27,1989,27,27,"2,430",27,0,2,2,0,0,0,7,0,0,0.07,0.07,0,0.07,Matches
164,Fernandinho,br BRA,"MF,DF",Manchester City,31,1985,32,31,"2,756",30.6,2,1,3,2,0,0,4,2,0.07,0.03,0.1,0.07,0.1,Matches
165,Fernando,br BRA,"MF,DF",Manchester City,29,1987,15,5,568,6.3,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
166,Sam Field,eng ENG,MF,West Brom,18,1998,8,4,275,3.1,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
167,Roberto Firmino,br BRA,FW,Liverpool,24,1991,35,34,"3,062",34,11,7,18,11,0,0,5,0,0.32,0.21,0.53,0.32,0.53,Matches
168,Viktor Fischer,dk DEN,"FW,MF",Middlesbrough,22,1994,13,6,438,4.9,0,3,3,0,0,0,0,0,0,0.62,0.62,0,0.62,Matches
169,Mathieu Flamini,fr FRA,MF,Crystal Palace,32,1984,10,3,274,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
170,Jon Flanagan,eng ENG,DF,Burnley,23,1993,6,3,360,4,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
171,Ashley Fletcher,eng ENG,FW,West Ham,20,1995,16,2,367,4.1,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
172,Darren Fletcher,sct SCO,MF,West Brom,32,1984,38,37,"3,231",35.9,2,3,5,2,0,0,0,0,0.06,0.08,0.14,0.06,0.14,Matches
173,Michael Folivi,eng ENG,FW,Watford,18,1998,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
174,José Fonte,pt POR,DF,Southampton,32,1983,17,17,"1,530",17,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
175,José Fonte,pt POR,DF,West Ham,32,1983,16,16,"1,404",15.6,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
